 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 8.325954E+01, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-2.562404734040227E+00  (ETA=-4.354080E+00)
 #      Matching radius: RAD(  299)= 1.192047681907280E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   5.52022081E-03  3.03597719E-01 -7.43113756E-02
   5.56022241E-03  3.04755626E-01 -7.46783915E-02
   5.60022401E-03  3.05902532E-01 -7.50436089E-02
   5.64022561E-03  3.07038480E-01 -7.54070343E-02
   5.68022721E-03  3.08163519E-01 -7.57686743E-02
   5.72022881E-03  3.09277693E-01 -7.61285352E-02
   5.76023041E-03  3.10381047E-01 -7.64866235E-02
   5.80023201E-03  3.11473627E-01 -7.68429455E-02
   5.84023361E-03  3.12555477E-01 -7.71975076E-02
   5.88023521E-03  3.13626640E-01 -7.75503161E-02
   5.92023681E-03  3.14687162E-01 -7.79013770E-02
   5.96023841E-03  3.15737086E-01 -7.82506965E-02
   6.00024001E-03  3.16776455E-01 -7.85982809E-02
   6.04024161E-03  3.17805312E-01 -7.89441360E-02
   6.08024321E-03  3.18823701E-01 -7.92882679E-02
   6.12024481E-03  3.19831663E-01 -7.96306826E-02
   6.16024641E-03  3.20829242E-01 -7.99713859E-02
   6.20024801E-03  3.21816478E-01 -8.03103838E-02
   6.24024961E-03  3.22793415E-01 -8.06476821E-02
   6.28025121E-03  3.23760093E-01 -8.09832864E-02
   6.32025281E-03  3.24716555E-01 -8.13172027E-02
   6.36025441E-03  3.25662840E-01 -8.16494364E-02
   6.40025601E-03  3.26598989E-01 -8.19799934E-02
   6.44025761E-03  3.27525044E-01 -8.23088793E-02
   6.48025921E-03  3.28441045E-01 -8.26360995E-02
   6.52026081E-03  3.29347031E-01 -8.29616596E-02
   6.56026241E-03  3.30243042E-01 -8.32855651E-02
   6.60026401E-03  3.31129119E-01 -8.36078215E-02
   6.64026561E-03  3.32005300E-01 -8.39284341E-02
   6.68026721E-03  3.32871625E-01 -8.42474085E-02
   6.72026881E-03  3.33728133E-01 -8.45647498E-02
   6.76027041E-03  3.34574862E-01 -8.48804634E-02
   6.80027201E-03  3.35411851E-01 -8.51945546E-02
   6.84027361E-03  3.36239138E-01 -8.55070286E-02
   6.88027521E-03  3.37056761E-01 -8.58178906E-02
   6.92027681E-03  3.37864760E-01 -8.61271458E-02
   6.96027841E-03  3.38663170E-01 -8.64347993E-02
   7.00028001E-03  3.39452029E-01 -8.67408563E-02
   7.04028161E-03  3.40231376E-01 -8.70453217E-02
   7.08028321E-03  3.41001247E-01 -8.73482007E-02
   7.12028481E-03  3.41761678E-01 -8.76494982E-02
   7.16028641E-03  3.42512708E-01 -8.79492192E-02
   7.20028801E-03  3.43254371E-01 -8.82473687E-02
   7.24028961E-03  3.43986706E-01 -8.85439516E-02
   7.28029121E-03  3.44709747E-01 -8.88389728E-02
   7.32029281E-03  3.45423532E-01 -8.91324370E-02
   7.36029441E-03  3.46128095E-01 -8.94243493E-02
   7.40029601E-03  3.46823472E-01 -8.97147143E-02
   7.44029761E-03  3.47509700E-01 -9.00035368E-02
   7.48029921E-03  3.48186813E-01 -9.02908216E-02
   7.52030081E-03  3.48854846E-01 -9.05765735E-02
   7.56030241E-03  3.49513835E-01 -9.08607970E-02
   7.60030401E-03  3.50163814E-01 -9.11434968E-02
   7.64030561E-03  3.50804818E-01 -9.14246777E-02
   7.68030721E-03  3.51436882E-01 -9.17043442E-02
   7.72030881E-03  3.52060039E-01 -9.19825009E-02
   7.76031041E-03  3.52674324E-01 -9.22591524E-02
   7.80031201E-03  3.53279772E-01 -9.25343032E-02
   7.84031361E-03  3.53876415E-01 -9.28079578E-02
   7.88031521E-03  3.54464288E-01 -9.30801207E-02
   7.92031681E-03  3.55043424E-01 -9.33507964E-02
   7.96031841E-03  3.55613856E-01 -9.36199894E-02
   8.00032001E-03  3.56175619E-01 -9.38877040E-02
   8.04032161E-03  3.56728745E-01 -9.41539446E-02
   8.08032321E-03  3.57273266E-01 -9.44187157E-02
   8.12032481E-03  3.57809217E-01 -9.46820215E-02
   8.16032641E-03  3.58336629E-01 -9.49438665E-02
   8.20032801E-03  3.58855535E-01 -9.52042549E-02
   8.24032961E-03  3.59365968E-01 -9.54631910E-02
   8.28033121E-03  3.59867959E-01 -9.57206791E-02
   8.32033281E-03  3.60361542E-01 -9.59767234E-02
   8.36033441E-03  3.60846747E-01 -9.62313281E-02
   8.40033601E-03  3.61323607E-01 -9.64844975E-02
   8.44033761E-03  3.61792154E-01 -9.67362358E-02
   8.48033921E-03  3.62252420E-01 -9.69865470E-02
   8.52034081E-03  3.62704434E-01 -9.72354354E-02
   8.56034241E-03  3.63148230E-01 -9.74829051E-02
   8.60034401E-03  3.63583838E-01 -9.77289602E-02
   8.64034561E-03  3.64011290E-01 -9.79736047E-02
   8.68034721E-03  3.64430616E-01 -9.82168428E-02
   8.72034881E-03  3.64841847E-01 -9.84586785E-02
   8.76035041E-03  3.65245014E-01 -9.86991158E-02
   8.80035201E-03  3.65640148E-01 -9.89381587E-02
   8.84035361E-03  3.66027279E-01 -9.91758112E-02
   8.88035521E-03  3.66406437E-01 -9.94120774E-02
   8.92035681E-03  3.66777653E-01 -9.96469611E-02
   8.96035841E-03  3.67140956E-01 -9.98804663E-02
   9.00036001E-03  3.67496378E-01 -1.00112597E-01
   9.04036161E-03  3.67843947E-01 -1.00343357E-01
   9.08036321E-03  3.68183693E-01 -1.00572750E-01
   9.12036481E-03  3.68515647E-01 -1.00800780E-01
   9.16036641E-03  3.68839838E-01 -1.01027452E-01
   9.20036801E-03  3.69156295E-01 -1.01252768E-01
   9.24036961E-03  3.69465047E-01 -1.01476733E-01
   9.28037121E-03  3.69766124E-01 -1.01699350E-01
   9.32037281E-03  3.70059555E-01 -1.01920623E-01
   9.36037441E-03  3.70345369E-01 -1.02140556E-01
   9.40037602E-03  3.70623595E-01 -1.02359154E-01
   9.44037762E-03  3.70894261E-01 -1.02576418E-01
   9.48037922E-03  3.71157396E-01 -1.02792354E-01
   9.52038082E-03  3.71413030E-01 -1.03006965E-01
   9.56038242E-03  3.71661190E-01 -1.03220254E-01
   9.60038402E-03  3.71901904E-01 -1.03432226E-01
   9.64038562E-03  3.72135202E-01 -1.03642884E-01
   9.68038722E-03  3.72361110E-01 -1.03852232E-01
   9.72038882E-03  3.72579658E-01 -1.04060273E-01
