 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 2.547518E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-3.074611872627431E-01  (ETA=-2.506100E+00)
 #      Matching radius: RAD(  139)= 5.520220808832400E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00804032E-02  4.90126063E-01 -1.42320549E-01
   1.01204048E-02  4.90264529E-01 -1.42586174E-01
   1.01604064E-02  4.90393425E-01 -1.42850077E-01
   1.02004080E-02  4.90512786E-01 -1.43112260E-01
   1.02404096E-02  4.90622650E-01 -1.43372730E-01
   1.02804112E-02  4.90723052E-01 -1.43631489E-01
   1.03204128E-02  4.90814028E-01 -1.43888543E-01
   1.03604144E-02  4.90895616E-01 -1.44143895E-01
   1.04004160E-02  4.90967849E-01 -1.44397549E-01
   1.04404176E-02  4.91030765E-01 -1.44649511E-01
   1.04804192E-02  4.91084398E-01 -1.44899784E-01
   1.05204208E-02  4.91128785E-01 -1.45148372E-01
   1.05604224E-02  4.91163961E-01 -1.45395280E-01
   1.06004240E-02  4.91189961E-01 -1.45640512E-01
   1.06404256E-02  4.91206820E-01 -1.45884071E-01
   1.06804272E-02  4.91214574E-01 -1.46125963E-01
   1.07204288E-02  4.91213257E-01 -1.46366191E-01
   1.07604304E-02  4.91202905E-01 -1.46604760E-01
   1.08004320E-02  4.91183552E-01 -1.46841673E-01
   1.08404336E-02  4.91155233E-01 -1.47076935E-01
   1.08804352E-02  4.91117982E-01 -1.47310549E-01
   1.09204368E-02  4.91071834E-01 -1.47542520E-01
   1.09604384E-02  4.91016824E-01 -1.47772852E-01
   1.10004400E-02  4.90952985E-01 -1.48001549E-01
   1.10404416E-02  4.90880352E-01 -1.48228615E-01
   1.10804432E-02  4.90798958E-01 -1.48454054E-01
   1.11204448E-02  4.90708839E-01 -1.48677870E-01
   1.11604464E-02  4.90610027E-01 -1.48900067E-01
   1.12004480E-02  4.90502556E-01 -1.49120649E-01
   1.12404496E-02  4.90386461E-01 -1.49339620E-01
   1.12804512E-02  4.90261774E-01 -1.49556984E-01
   1.13204528E-02  4.90128529E-01 -1.49772745E-01
   1.13604544E-02  4.89986759E-01 -1.49986906E-01
   1.14004560E-02  4.89836499E-01 -1.50199473E-01
   1.14404576E-02  4.89677780E-01 -1.50410448E-01
   1.14804592E-02  4.89510636E-01 -1.50619835E-01
   1.15204608E-02  4.89335100E-01 -1.50827639E-01
   1.15604624E-02  4.89151205E-01 -1.51033864E-01
   1.16004640E-02  4.88958983E-01 -1.51238513E-01
   1.16404656E-02  4.88758468E-01 -1.51441590E-01
   1.16804672E-02  4.88549691E-01 -1.51643098E-01
   1.17204688E-02  4.88332686E-01 -1.51843043E-01
   1.17604704E-02  4.88107484E-01 -1.52041427E-01
   1.18004720E-02  4.87874119E-01 -1.52238255E-01
   1.18404736E-02  4.87632622E-01 -1.52433530E-01
   1.18804752E-02  4.87383026E-01 -1.52627256E-01
   1.19204768E-02  4.87125362E-01 -1.52819437E-01
   1.19604784E-02  4.86859662E-01 -1.53010077E-01
   1.20004800E-02  4.86585959E-01 -1.53199178E-01
   1.20404816E-02  4.86304284E-01 -1.53386747E-01
   1.20804832E-02  4.86014669E-01 -1.53572784E-01
   1.21204848E-02  4.85717145E-01 -1.53757296E-01
   1.21604864E-02  4.85411745E-01 -1.53940285E-01
   1.22004880E-02  4.85098498E-01 -1.54121755E-01
   1.22404896E-02  4.84777437E-01 -1.54301709E-01
   1.22804912E-02  4.84448594E-01 -1.54480152E-01
   1.23204928E-02  4.84111998E-01 -1.54657088E-01
   1.23604944E-02  4.83767682E-01 -1.54832519E-01
   1.24004960E-02  4.83415675E-01 -1.55006449E-01
   1.24404976E-02  4.83056010E-01 -1.55178883E-01
   1.24804992E-02  4.82688717E-01 -1.55349823E-01
   1.25205008E-02  4.82313826E-01 -1.55519274E-01
   1.25605024E-02  4.81931369E-01 -1.55687239E-01
   1.26005040E-02  4.81541376E-01 -1.55853721E-01
   1.26405056E-02  4.81143877E-01 -1.56018725E-01
   1.26805072E-02  4.80738903E-01 -1.56182253E-01
   1.27205088E-02  4.80326484E-01 -1.56344310E-01
   1.27605104E-02  4.79906650E-01 -1.56504899E-01
   1.28005120E-02  4.79479432E-01 -1.56664024E-01
   1.28405136E-02  4.79044860E-01 -1.56821687E-01
   1.28805152E-02  4.78602963E-01 -1.56977894E-01
   1.29205168E-02  4.78153772E-01 -1.57132647E-01
   1.29605184E-02  4.77697317E-01 -1.57285949E-01
   1.30005200E-02  4.77233626E-01 -1.57437805E-01
   1.30405216E-02  4.76762731E-01 -1.57588217E-01
   1.30805232E-02  4.76284659E-01 -1.57737190E-01
   1.31205248E-02  4.75799442E-01 -1.57884727E-01
   1.31605264E-02  4.75307109E-01 -1.58030831E-01
   1.32005280E-02  4.74807688E-01 -1.58175506E-01
   1.32405296E-02  4.74301209E-01 -1.58318755E-01
   1.32805312E-02  4.73787702E-01 -1.58460581E-01
