 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 7.297387E+03, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 3.946156279011239E-01  (ETA=-5.889913E-01)
 #      Matching radius: RAD(   15)= 5.600224008960000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   6.44025761E-03  8.74174818E-01 -3.85899581E-01
   6.48025921E-03  8.73543409E-01 -3.87577558E-01
   6.52026081E-03  8.72854567E-01 -3.89243309E-01
   6.56026241E-03  8.72108566E-01 -3.90896776E-01
   6.60026401E-03  8.71305684E-01 -3.92537902E-01
   6.64026561E-03  8.70446195E-01 -3.94166630E-01
   6.68026721E-03  8.69530378E-01 -3.95782904E-01
   6.72026881E-03  8.68558509E-01 -3.97386666E-01
   6.76027041E-03  8.67530867E-01 -3.98977862E-01
   6.80027201E-03  8.66447729E-01 -4.00556436E-01
   6.84027361E-03  8.65309375E-01 -4.02122334E-01
   6.88027521E-03  8.64116083E-01 -4.03675501E-01
   6.92027681E-03  8.62868134E-01 -4.05215884E-01
   6.96027841E-03  8.61565808E-01 -4.06743428E-01
   7.00028001E-03  8.60209386E-01 -4.08258083E-01
   7.04028161E-03  8.58799148E-01 -4.09759794E-01
   7.08028321E-03  8.57335378E-01 -4.11248511E-01
   7.12028481E-03  8.55818356E-01 -4.12724181E-01
   7.16028641E-03  8.54248366E-01 -4.14186755E-01
   7.20028801E-03  8.52625691E-01 -4.15636181E-01
   7.24028961E-03  8.50950614E-01 -4.17072409E-01
   7.28029121E-03  8.49223420E-01 -4.18495391E-01
   7.32029281E-03  8.47444394E-01 -4.19905077E-01
   7.36029441E-03  8.45613821E-01 -4.21301420E-01
   7.40029601E-03  8.43731986E-01 -4.22684370E-01
   7.44029761E-03  8.41799176E-01 -4.24053880E-01
   7.48029921E-03  8.39815677E-01 -4.25409905E-01
   7.52030081E-03  8.37781776E-01 -4.26752396E-01
   7.56030241E-03  8.35697762E-01 -4.28081309E-01
   7.60030401E-03  8.33563921E-01 -4.29396598E-01
   7.64030561E-03  8.31380543E-01 -4.30698218E-01
   7.68030721E-03  8.29147916E-01 -4.31986124E-01
   7.72030881E-03  8.26866330E-01 -4.33260273E-01
   7.76031041E-03  8.24536075E-01 -4.34520622E-01
   7.80031201E-03  8.22157441E-01 -4.35767127E-01
   7.84031361E-03  8.19730720E-01 -4.36999746E-01
   7.88031521E-03  8.17256201E-01 -4.38218438E-01
   7.92031681E-03  8.14734178E-01 -4.39423160E-01
   7.96031841E-03  8.12164942E-01 -4.40613873E-01
   8.00032001E-03  8.09548786E-01 -4.41790536E-01
   8.04032161E-03  8.06886003E-01 -4.42953110E-01
   8.08032321E-03  8.04176886E-01 -4.44101554E-01
   8.12032481E-03  8.01421729E-01 -4.45235831E-01
   8.16032641E-03  7.98620827E-01 -4.46355902E-01
   8.20032801E-03  7.95774474E-01 -4.47461730E-01
   8.24032961E-03  7.92882966E-01 -4.48553277E-01
   8.28033121E-03  7.89946598E-01 -4.49630507E-01
   8.32033281E-03  7.86965666E-01 -4.50693384E-01
   8.36033441E-03  7.83940467E-01 -4.51741872E-01
   8.40033601E-03  7.80871297E-01 -4.52775937E-01
   8.44033761E-03  7.77758453E-01 -4.53795544E-01
   8.48033921E-03  7.74602233E-01 -4.54800659E-01
   8.52034081E-03  7.71402935E-01 -4.55791248E-01
   8.56034241E-03  7.68160857E-01 -4.56767279E-01
   8.60034401E-03  7.64876298E-01 -4.57728720E-01
   8.64034561E-03  7.61549558E-01 -4.58675538E-01
   8.68034721E-03  7.58180934E-01 -4.59607703E-01
   8.72034881E-03  7.54770728E-01 -4.60525184E-01
   8.76035041E-03  7.51319239E-01 -4.61427950E-01
   8.80035201E-03  7.47826767E-01 -4.62315972E-01
   8.84035361E-03  7.44293614E-01 -4.63189222E-01
   8.88035521E-03  7.40720081E-01 -4.64047669E-01
   8.92035681E-03  7.37106469E-01 -4.64891288E-01
   8.96035841E-03  7.33453080E-01 -4.65720049E-01
   9.00036001E-03  7.29760215E-01 -4.66533926E-01
   9.04036161E-03  7.26028178E-01 -4.67332893E-01
   9.08036321E-03  7.22257271E-01 -4.68116924E-01
   9.12036481E-03  7.18447797E-01 -4.68885994E-01
   9.16036641E-03  7.14600060E-01 -4.69640077E-01
   9.20036801E-03  7.10714362E-01 -4.70379151E-01
   9.24036961E-03  7.06791008E-01 -4.71103191E-01
   9.28037121E-03  7.02830302E-01 -4.71812173E-01
   9.32037281E-03  6.98832548E-01 -4.72506076E-01
   9.36037441E-03  6.94798052E-01 -4.73184878E-01
   9.40037602E-03  6.90727117E-01 -4.73848557E-01
   9.44037762E-03  6.86620049E-01 -4.74497093E-01
   9.48037922E-03  6.82477153E-01 -4.75130464E-01
   9.52038082E-03  6.78298735E-01 -4.75748651E-01
   9.56038242E-03  6.74085101E-01 -4.76351636E-01
   9.60038402E-03  6.69836557E-01 -4.76939398E-01
   9.64038562E-03  6.65553409E-01 -4.77511921E-01
   9.68038722E-03  6.61235963E-01 -4.78069186E-01
   9.72038882E-03  6.56884527E-01 -4.78611177E-01
   9.76039042E-03  6.52499407E-01 -4.79137876E-01
   9.80039202E-03  6.48080910E-01 -4.79649269E-01
   9.84039362E-03  6.43629344E-01 -4.80145339E-01
   9.88039522E-03  6.39145015E-01 -4.80626073E-01
   9.92039682E-03  6.34628232E-01 -4.81091455E-01
   9.96039842E-03  6.30079302E-01 -4.81541472E-01
   1.00004000E-02  6.25498532E-01 -4.81976110E-01
   1.00404016E-02  6.20886232E-01 -4.82395358E-01
   1.00804032E-02  6.16242709E-01 -4.82799202E-01
   1.01204048E-02  6.11568271E-01 -4.83187632E-01
   1.01604064E-02  6.06863227E-01 -4.83560637E-01
   1.02004080E-02  6.02127886E-01 -4.83918206E-01
   1.02404096E-02  5.97362555E-01 -4.84260329E-01
   1.02804112E-02  5.92567544E-01 -4.84586997E-01
   1.03204128E-02  5.87743162E-01 -4.84898201E-01
   1.03604144E-02  5.82889716E-01 -4.85193933E-01
   1.04004160E-02  5.78007517E-01 -4.85474185E-01
   1.04404176E-02  5.73096874E-01 -4.85738950E-01
   1.04804192E-02  5.68158095E-01 -4.85988223E-01
   1.05204208E-02  5.63191489E-01 -4.86221995E-01
   1.05604224E-02  5.58197367E-01 -4.86440263E-01
   1.06004240E-02  5.53176036E-01 -4.86643021E-01
   1.06404256E-02  5.48127807E-01 -4.86830265E-01
   1.06804272E-02  5.43052988E-01 -4.87001991E-01
   1.07204288E-02  5.37951890E-01 -4.87158196E-01
   1.07604304E-02  5.32824820E-01 -4.87298876E-01
   1.08004320E-02  5.27672090E-01 -4.87424031E-01
   1.08404336E-02  5.22494007E-01 -4.87533658E-01
   1.08804352E-02  5.17290881E-01 -4.87627756E-01
   1.09204368E-02  5.12063023E-01 -4.87706325E-01
   1.09604384E-02  5.06810740E-01 -4.87769365E-01
   1.10004400E-02  5.01534342E-01 -4.87816875E-01
   1.10404416E-02  4.96234138E-01 -4.87848859E-01
   1.10804432E-02  4.90910438E-01 -4.87865316E-01
   1.11204448E-02  4.85563550E-01 -4.87866249E-01
   1.11604464E-02  4.80193784E-01 -4.87851661E-01
   1.12004480E-02  4.74801448E-01 -4.87821556E-01
   1.12404496E-02  4.69386852E-01 -4.87775936E-01
   1.12804512E-02  4.63950303E-01 -4.87714808E-01
   1.13204528E-02  4.58492112E-01 -4.87638174E-01
   1.13604544E-02  4.53012586E-01 -4.87546041E-01
   1.14004560E-02  4.47512033E-01 -4.87438415E-01
   1.14404576E-02  4.41990763E-01 -4.87315302E-01
   1.14804592E-02  4.36449083E-01 -4.87176710E-01
   1.15204608E-02  4.30887301E-01 -4.87022645E-01
   1.15604624E-02  4.25305726E-01 -4.86853117E-01
   1.16004640E-02  4.19704665E-01 -4.86668133E-01
   1.16404656E-02  4.14084425E-01 -4.86467704E-01
   1.16804672E-02  4.08445315E-01 -4.86251838E-01
   1.17204688E-02  4.02787641E-01 -4.86020547E-01
   1.17604704E-02  3.97111711E-01 -4.85773840E-01
   1.18004720E-02  3.91417832E-01 -4.85511729E-01
   1.18404736E-02  3.85706309E-01 -4.85234227E-01
   1.18804752E-02  3.79977450E-01 -4.84941345E-01
   1.19204768E-02  3.74231562E-01 -4.84633097E-01
   1.19604784E-02  3.68468949E-01 -4.84309495E-01
   1.20004800E-02  3.62689918E-01 -4.83970555E-01
   1.20404816E-02  3.56894775E-01 -4.83616290E-01
   1.20804832E-02  3.51083825E-01 -4.83246715E-01
   1.21204848E-02  3.45257373E-01 -4.82861847E-01
   1.21604864E-02  3.39415723E-01 -4.82461700E-01
   1.22004880E-02  3.33559181E-01 -4.82046293E-01
   1.22404896E-02  3.27688051E-01 -4.81615642E-01
   1.22804912E-02  3.21802637E-01 -4.81169764E-01
   1.23204928E-02  3.15903242E-01 -4.80708678E-01
   1.23604944E-02  3.09990170E-01 -4.80232403E-01
   1.24004960E-02  3.04063724E-01 -4.79740958E-01
   1.24404976E-02  2.98124208E-01 -4.79234362E-01
   1.24804992E-02  2.92171922E-01 -4.78712636E-01
   1.25205008E-02  2.86207171E-01 -4.78175800E-01
   1.25605024E-02  2.80230254E-01 -4.77623877E-01
   1.26005040E-02  2.74241475E-01 -4.77056887E-01
   1.26405056E-02  2.68241134E-01 -4.76474853E-01
   1.26805072E-02  2.62229531E-01 -4.75877798E-01
   1.27205088E-02  2.56206968E-01 -4.75265745E-01
   1.27605104E-02  2.50173745E-01 -4.74638719E-01
   1.28005120E-02  2.44130160E-01 -4.73996742E-01
   1.28405136E-02  2.38076513E-01 -4.73339841E-01
   1.28805152E-02  2.32013104E-01 -4.72668041E-01
   1.29205168E-02  2.25940230E-01 -4.71981366E-01
   1.29605184E-02  2.19858189E-01 -4.71279845E-01
   1.30005200E-02  2.13767280E-01 -4.70563504E-01
   1.30405216E-02  2.07667799E-01 -4.69832369E-01
   1.30805232E-02  2.01560044E-01 -4.69086470E-01
   1.31205248E-02  1.95444310E-01 -4.68325833E-01
   1.31605264E-02  1.89320893E-01 -4.67550489E-01
   1.32005280E-02  1.83190089E-01 -4.66760466E-01
   1.32405296E-02  1.77052193E-01 -4.65955795E-01
   1.32805312E-02  1.70907499E-01 -4.65136505E-01
   1.33205328E-02  1.64756301E-01 -4.64302628E-01
   1.33605344E-02  1.58598893E-01 -4.63454195E-01
   1.34005360E-02  1.52435567E-01 -4.62591237E-01
   1.34405376E-02  1.46266617E-01 -4.61713787E-01
   1.34805392E-02  1.40092334E-01 -4.60821877E-01
   1.35205408E-02  1.33913009E-01 -4.59915542E-01
   1.35605424E-02  1.27728934E-01 -4.58994814E-01
   1.36005440E-02  1.21540400E-01 -4.58059727E-01
   1.36405456E-02  1.15347694E-01 -4.57110318E-01
   1.36805472E-02  1.09151109E-01 -4.56146619E-01
   1.37205488E-02  1.02950931E-01 -4.55168668E-01
   1.37605504E-02  9.67474489E-02 -4.54176501E-01
   1.38005520E-02  9.05409510E-02 -4.53170153E-01
   1.38405536E-02  8.43317238E-02 -4.52149663E-01
   1.38805552E-02  7.81200541E-02 -4.51115066E-01
   1.39205568E-02  7.19062275E-02 -4.50066403E-01
   1.39605584E-02  6.56905294E-02 -4.49003710E-01
   1.40005600E-02  5.94732445E-02 -4.47927027E-01
   1.40405616E-02  5.32546568E-02 -4.46836393E-01
   1.40805632E-02  4.70350498E-02 -4.45731848E-01
   1.41205648E-02  4.08147063E-02 -4.44613432E-01
   1.41605664E-02  3.45939085E-02 -4.43481187E-01
   1.42005680E-02  2.83729379E-02 -4.42335152E-01
   1.42405696E-02  2.21520754E-02 -4.41175371E-01
   1.42805712E-02  1.59316012E-02 -4.40001884E-01
   1.43205728E-02  9.71179494E-03 -4.38814735E-01
   1.43605744E-02  3.49293550E-03 -4.37613967E-01
   1.44005760E-02 -2.72469891E-03 -4.36399622E-01
   1.44405776E-02 -8.94083073E-03 -4.35171745E-01
   1.44805792E-02 -1.51551831E-02 -4.33930380E-01
   1.45205808E-02 -2.13674799E-02 -4.32675573E-01
   1.45605824E-02 -2.75774457E-02 -4.31407367E-01
   1.46005840E-02 -3.37848058E-02 -4.30125809E-01
   1.46405856E-02 -3.99892860E-02 -4.28830945E-01
   1.46805872E-02 -4.61906132E-02 -4.27522821E-01
   1.47205888E-02 -5.23885147E-02 -4.26201484E-01
   1.47605904E-02 -5.85827188E-02 -4.24866982E-01
   1.48005920E-02 -6.47729544E-02 -4.23519362E-01
   1.48405936E-02 -7.09589511E-02 -4.22158673E-01
   1.48805952E-02 -7.71404395E-02 -4.20784964E-01
   1.49205968E-02 -8.33171506E-02 -4.19398282E-01
   1.49605984E-02 -8.94888165E-02 -4.17998679E-01
   1.50006000E-02 -9.56551699E-02 -4.16586203E-01
   1.50406016E-02 -1.01815944E-01 -4.15160905E-01
   1.50806032E-02 -1.07970874E-01 -4.13722835E-01
   1.51206048E-02 -1.14119695E-01 -4.12272046E-01
   1.51606064E-02 -1.20262142E-01 -4.10808588E-01
   1.52006080E-02 -1.26397952E-01 -4.09332513E-01
   1.52406096E-02 -1.32526863E-01 -4.07843874E-01
   1.52806112E-02 -1.38648613E-01 -4.06342724E-01
   1.53206128E-02 -1.44762941E-01 -4.04829115E-01
   1.53606144E-02 -1.50869588E-01 -4.03303101E-01
   1.54006160E-02 -1.56968295E-01 -4.01764736E-01
   1.54406176E-02 -1.63058802E-01 -4.00214075E-01
   1.54806192E-02 -1.69140853E-01 -3.98651172E-01
   1.55206208E-02 -1.75214192E-01 -3.97076082E-01
   1.55606224E-02 -1.81278562E-01 -3.95488861E-01
   1.56006240E-02 -1.87333709E-01 -3.93889565E-01
   1.56406256E-02 -1.93379378E-01 -3.92278250E-01
   1.56806272E-02 -1.99415318E-01 -3.90654973E-01
   1.57206288E-02 -2.05441275E-01 -3.89019790E-01
   1.57606304E-02 -2.11456999E-01 -3.87372760E-01
   1.58006320E-02 -2.17462240E-01 -3.85713940E-01
   1.58406336E-02 -2.23456747E-01 -3.84043387E-01
   1.58806352E-02 -2.29440272E-01 -3.82361162E-01
   1.59206368E-02 -2.35412568E-01 -3.80667322E-01
   1.59606384E-02 -2.41373389E-01 -3.78961927E-01
   1.60006400E-02 -2.47322488E-01 -3.77245036E-01
   1.60406416E-02 -2.53259620E-01 -3.75516710E-01
   1.60806432E-02 -2.59184543E-01 -3.73777009E-01
   1.61206448E-02 -2.65097013E-01 -3.72025993E-01
   1.61606464E-02 -2.70996788E-01 -3.70263724E-01
   1.62006480E-02 -2.76883627E-01 -3.68490264E-01
   1.62406496E-02 -2.82757291E-01 -3.66705673E-01
   1.62806512E-02 -2.88617540E-01 -3.64910014E-01
   1.63206528E-02 -2.94464137E-01 -3.63103349E-01
   1.63606544E-02 -3.00296844E-01 -3.61285742E-01
   1.64006560E-02 -3.06115425E-01 -3.59457256E-01
   1.64406576E-02 -3.11919646E-01 -3.57617953E-01
   1.64806592E-02 -3.17709272E-01 -3.55767898E-01
   1.65206608E-02 -3.23484071E-01 -3.53907155E-01
   1.65606624E-02 -3.29243810E-01 -3.52035788E-01
   1.66006640E-02 -3.34988259E-01 -3.50153862E-01
   1.66406656E-02 -3.40717187E-01 -3.48261443E-01
   1.66806672E-02 -3.46430365E-01 -3.46358596E-01
   1.67206688E-02 -3.52127567E-01 -3.44445386E-01
   1.67606704E-02 -3.57808564E-01 -3.42521880E-01
   1.68006720E-02 -3.63473132E-01 -3.40588144E-01
   1.68406736E-02 -3.69121045E-01 -3.38644246E-01
   1.68806752E-02 -3.74752080E-01 -3.36690251E-01
   1.69206768E-02 -3.80366014E-01 -3.34726227E-01
   1.69606784E-02 -3.85962626E-01 -3.32752243E-01
   1.70006800E-02 -3.91541695E-01 -3.30768365E-01
   1.70406816E-02 -3.97103001E-01 -3.28774663E-01
   1.70806832E-02 -4.02646328E-01 -3.26771205E-01
   1.71206848E-02 -4.08171457E-01 -3.24758059E-01
   1.71606864E-02 -4.13678172E-01 -3.22735295E-01
   1.72006880E-02 -4.19166258E-01 -3.20702983E-01
   1.72406896E-02 -4.24635501E-01 -3.18661192E-01
   1.72806912E-02 -4.30085689E-01 -3.16609992E-01
   1.73206928E-02 -4.35516610E-01 -3.14549453E-01
   1.73606944E-02 -4.40928054E-01 -3.12479646E-01
   1.74006960E-02 -4.46319809E-01 -3.10400643E-01
   1.74406976E-02 -4.51691670E-01 -3.08312513E-01
   1.74806992E-02 -4.57043428E-01 -3.06215329E-01
   1.75207008E-02 -4.62374877E-01 -3.04109163E-01
   1.75607024E-02 -4.67685812E-01 -3.01994085E-01
   1.76007040E-02 -4.72976030E-01 -2.99870169E-01
   1.76407056E-02 -4.78245328E-01 -2.97737487E-01
   1.76807072E-02 -4.83493504E-01 -2.95596112E-01
   1.77207088E-02 -4.88720359E-01 -2.93446117E-01
   1.77607104E-02 -4.93925692E-01 -2.91287574E-01
   1.78007120E-02 -4.99109307E-01 -2.89120559E-01
   1.78407136E-02 -5.04271006E-01 -2.86945143E-01
   1.78807152E-02 -5.09410593E-01 -2.84761402E-01
   1.79207168E-02 -5.14527875E-01 -2.82569410E-01
   1.79607184E-02 -5.19622657E-01 -2.80369241E-01
   1.80007200E-02 -5.24694749E-01 -2.78160971E-01
   1.80407216E-02 -5.29743958E-01 -2.75944673E-01
   1.80807232E-02 -5.34770096E-01 -2.73720423E-01
   1.81207248E-02 -5.39772974E-01 -2.71488298E-01
   1.81607264E-02 -5.44752404E-01 -2.69248371E-01
   1.82007280E-02 -5.49708200E-01 -2.67000720E-01
